,Make,Model,Count
95,TESLA,MODEL 3,23135
98,TESLA,MODEL Y,17142
81,NISSAN,LEAF,12880
96,TESLA,MODEL S,7377
27,CHEVROLET,BOLT EV,4910
30,CHEVROLET,VOLT,4896
97,TESLA,MODEL X,4370
102,TOYOTA,PRIUS PRIME,2380
57,KIA,NIRO,2260
18,BMW,I3,1896
