Make,Model,Tank Capacity (gallons),Gas Cost ($)
Ford,F-Series,33.3,101.79809999999999
Chevrolet,Silverado,24.0,73.368
Ram,1500,26.0,79.482
Toyota,RAV4,14.5,44.326499999999996
Honda,CR-V,14.0,42.798
GMC,Sierra,24.0,73.368
Toyota,Camry,15.8,48.3006
Nissan,Rogue,14.5,44.326499999999996
Jeep,Grand Cherokee,23.0,70.31099999999999
Toyota,Tacoma,21.1,64.5027
