Comment,Processed_Comment
They need combustion engines to mine and ship all the materials to make the e.v,need combustion engines mine ship materials make e v
"hydrogen is the future fuel, or ammonia water... etc.",hydrogen future fuel ammonia water etc
"Batteries will hit a ceiling of density.  I don't know how close they can get to hydrocarbon energy density but there will be a limit after which one just will not be able to stuff anymore energy into a space.  
On the other hand one has to also remember that ICE's also waste a lot of that gasoline as heat without ever getting work out of it.  Electric make up for a lot of that lack of density because of this.",batteries hit ceiling density know close get hydrocarbon energy density limit one able stuff anymore energy space hand one also remember ice also waste lot gasoline heat without ever getting work electric make lot lack density
You're forgetting one thing the freedom that the government gives us we don't live in a free country we live in a country that freedom is determined by what the government does and if the government chooses to get rid of all combustion engines they will vanish we will not be allowed to drive them and they will push their agenda of electricity upon us and there will be nothing we can do just look at what government has done to the combustion engine in the past since 1973 you just don't realize the power that the government has in controlling the people as to what freedoms they're allowed to have and you think that's a stretch you just watch them if they want it they'll get it and if it costs you more you'll pay it cuz you won't have a choice they'll take your combustion engine car away from you and you can probably say no that'll never happen well you can probably think of a lot of examples that you thought the government would never do and they did it look at all the crap they put on the cars to make them green and the next step will be make only green cars auto manufacturers and it's up to you to figure it out this new green deal is this another way of controlling the masses of the people and believe what you want but you're not free you have freedom that the government allows you to have.😂,forgetting one thing freedom government gives us live free country live country freedom determined government government chooses get rid combustion engines vanish allowed drive push agenda electricity upon us nothing look government done combustion engine past since 1973 realize power government controlling people freedoms allowed think stretch watch want get costs pay cuz choice take combustion engine car away probably say never happen well probably think lot examples thought government would never look crap put cars make green next step make green cars auto manufacturers figure new green deal another way controlling masses people believe want free freedom government allows
"Real quick, but in your first 2 mins of the video, you mentioned your gallon of gas has 33.7kw of energy saying that that gallon has more energy then the 1st gen leaf battery. But did you compensate for the fact that most of that gas is wasted though heat and power loss snd not used for propulsion?",real quick first 2 mins video mentioned gallon gas 33 7kw energy saying gallon energy 1st gen leaf battery compensate fact gas wasted though heat power loss snd used propulsion
Did you really show a picture of the world economic forum ?? Agenda 2030 in full swing..... pure Evil,really show picture world economic forum agenda 2030 full swing pure evil
An electric plane wouldn't need to carry passengers.,electric plane need carry passengers
I think there's some results of lead poisoning here!   Haven't researched the specks yet but I think one lithium battery can destroy by fire more than about 4 fuel tankers of gasoline. Also remember that manufacturing  one lithium battery creates many times the pollution  fossil fuels!,think results lead poisoning researched specks yet think one lithium battery destroy fire 4 fuel tankers gasoline also remember manufacturing one lithium battery creates many times pollution fossil fuels
"I'd like to point out that hybrid cars' MPG ranges from the best that you can get from older, lighter cars and ultra light cars (civics, miatas, etc,) at about 50mpg and 75 mpg, which is what some  mptorcycles run at (the most feul efficient bikes are easily in the 100-120mpg range)",like point hybrid cars mpg ranges best get older lighter cars ultra light cars civics miatas etc 50mpg 75 mpg mptorcycles run feul efficient bikes easily 100 120mpg range
"So this is why theres no 93 camry sized electric cars?
Long live the giant hatchbacks lol 
🤧 we need the 5 foot long cars again",theres 93 camry sized electric cars long live giant hatchbacks lol need 5 foot long cars
"One caveat- You're somewhat misrepresenting the comparative mass and volume of these fuels.  
ICE engines only use 30% of the energy in that gallon of gasoline.  Electric motors use over 75% of the energy in a battery.  So you need to compare 2.5 gallons, not 1.",one caveat somewhat misrepresenting comparative mass volume fuels ice engines use 30 energy gallon gasoline electric motors use 75 energy battery need compare 2 5 gallons 1
The batteries are much heavier than the Gallon of fuel,batteries much heavier gallon fuel
"as each year passes, love to revisit this video to see how much ev tech and batteries have improved past the u.s.",year passes love revisit video see much ev tech batteries improved past u
Would there be an advantage in putting an oxygen concentrator in front of a combustion engine?,would advantage putting oxygen concentrator front combustion engine
"This entire situation is a real tragedy.  Gasoline is orders of magnitude better as a transportation energy source.  Almost unbeatable in terms of the numbers.  Of course we have to do something about the environment, but the race to implement hideously less efficient tech, that has awful environmental impacts to produce, and without the infrastructure to support it, is just a monumental waste of resources.  And instead of committing to it, and making it a singular priority, we're going to go back and forth between the two, based the whims of the market.",entire situation real tragedy gasoline orders magnitude better transportation energy source almost unbeatable terms numbers course something environment race implement hideously less efficient tech awful environmental impacts produce without infrastructure support monumental waste resources instead committing making singular priority going go back forth two based whims market
"8:02 as a 98' Civic owner, that hurts",8 02 98 civic owner hurts
Hello????? Pls don’t delete this video 10 years from today.,hello pls delete video 10 years today
Cuz ICE cars are cheaper and every gas stations are everywhere..,cuz ice cars cheaper every gas stations everywhere
"Early adopter of the very best in E-Bikes. I bought a BionX brand, produced by Magna Industries and chosen by Mercedes Benz as the motor/battery/controller for their electric Smart Bike, sold in dealerships alongside the Smart micro cars. Ten years later they're out-of-business and my efforts to be environmentally responsible have resulted in very expensive LAND FILL.
 Same with the German made, Torqeedo electric outboard motor I bought, at more than TWICE the price of an ICE motor. Now that I need a new battery for it, the company tells me they ""no longer support"" my purchase. No parts or batteries available. More high priced land fill.
 Instead of buying an ICE, which would still be serviceable today, I am now faced with purchasing another outboard motor and a new motorcycle, and I assure you, NEITHER will be electric.
Electric Car? Not a FN chance.",early adopter best e bikes bought bionx brand produced magna industries chosen mercedes benz motor battery controller electric smart bike sold dealerships alongside smart micro cars ten years later business efforts environmentally responsible resulted expensive land fill german made torqeedo electric outboard motor bought twice price ice motor need new battery company tells longer support purchase parts batteries available high priced land fill instead buying ice would still serviceable today faced purchasing another outboard motor new motorcycle assure neither electric electric car fn chance
"You forgot to take into account engine efficiency vs motor efficiency (thermodynamic efficiency) when comparing the amount of ""fuel"" by volume used (leaving out the amount WASTED). All modern gas powered 4 stroke engines have 20-40% (avg small cars are typically 25-30% if they are in perfect condition and relatively new and maintained well. NOT including idle which drops this as well) efficiency due to only having one power stroke, more if you have turbo and a few more % if you have diesel. EV a/c motors have 85-98%+ efficiency(based on the DOE and several tech organizations and non-profit organizations which study modern manufacturing plants and data).

30Kwh vs gas... Why are you comparing a leaf to gas instead of modern EV'S that have 90kWh packs or larger (3x what you compare to... ). We also have batteries that are non toxic, cheaper to make and much safer and higher power density and much faster charging potential currently being developed in multiple countries around the world as I write this (borene, Graphene, Sodium etc) . 

People will blame Ev problems on ""no universal power/charging infrastructure"" ... But you could say that exact same thing about gas cars when they started! Gasoline was hard to get, while horse and carriages were cheap and required no gas... Good luck finding  a mechanic back then too! 

Ev's are lower profit margin and higher cost due to low volume manufacturing and high start up costs... Combustion is a rip off. But both elevate prices to make profit and honestly the current monopolies don't help either industry. At this point the li-ion battery is cheap and their prices are overpriced, it's where the price comes in since motors are easy to source and not too expensive compared to combustion engines. 

Your argument about the environment doesn't make sense... As it's all based on nothing but greed on the manufacturers side and people spreading misinformation which keeps the Ev sales market low, mostly Republicans who are biased against new tech and progression or evolution.

I used to see your videos were neutral but somewhere along the lines you started pushing your biased opinions and changing the rhetoric of all these ""facts"" to agree with you. I am a self taught engineer, researcher, and evaluate, repair, and build lithium batteries and have 20+yrs of automotive mechanic, electrical and race engine tuning, emissions tuning (and surpassing) and engine design on my belt. However, I can't say I agree with most of the points made in this video. I know you like cars because you dropped your other topics for cars but... Most mechanics know engineers  know theory but fail in practice. I've done both and verified this.

I'd advise you having a well versed tech as council for this topic looking forward.",forgot take account engine efficiency vs motor efficiency thermodynamic efficiency comparing amount fuel volume used leaving amount wasted modern gas powered 4 stroke engines 20 40 avg small cars typically 25 30 perfect condition relatively new maintained well including idle drops well efficiency due one power stroke turbo diesel ev c motors 85 98 efficiency based doe several tech organizations non profit organizations study modern manufacturing plants data 30kwh vs gas comparing leaf gas instead modern ev 90kwh packs larger 3x compare also batteries non toxic cheaper make much safer higher power density much faster charging potential currently developed multiple countries around world write borene graphene sodium etc people blame ev problems universal power charging infrastructure could say exact thing gas cars started gasoline hard get horse carriages cheap required gas good luck finding mechanic back ev lower profit margin higher cost due low volume manufacturing high start costs combustion rip elevate prices make profit honestly current monopolies help either industry point li ion battery cheap prices overpriced price comes since motors easy source expensive compared combustion engines argument environment make sense based nothing greed manufacturers side people spreading misinformation keeps ev sales market low mostly republicans biased new tech progression evolution used see videos neutral somewhere along lines started pushing biased opinions changing rhetoric facts agree self taught engineer researcher evaluate repair build lithium batteries 20 yrs automotive mechanic electrical race engine tuning emissions tuning surpassing engine design belt however say agree points made video know like cars dropped topics cars mechanics know engineers know theory fail practice done verified advise well versed tech council topic looking forward
Love me some LaCrotch Water,love lacrotch water
"And it is much faster to fill a Fuel Tank, then to charge a Batterie.",much faster fill fuel tank charge batterie
Electric drivetrain is so much better. Have a BEV with an onboard small IC generator.,electric drivetrain much better bev onboard small ic generator
“Tesla battery pack ≈ to 3 gallons of gas” 😤😂 working in a car dealership’s parts department I can tell you I’d much rather store crate engines all day than battery packs 😬,tesla battery pack 3 gallons gas working car dealership parts department tell much rather store crate engines day battery packs
parking ramps have to be improved else they will collapse with the additional weight of fully populated ramps with EVs,parking ramps improved else collapse additional weight fully populated ramps evs
mechanics do not know how to repair EVs thus repair costs are high...as are insurance costs since EVs more likely get totaled since they are expensive to fix.,mechanics know repair evs thus repair costs high insurance costs since evs likely get totaled since expensive fix
biden has epa mandates that ICEs cannot reach.  we will be switching to EVs whether we want to or not.,biden epa mandates ices reach switching evs whether want
you express a lot of confidence that battery technology will continue to improve.  Any evidence for that?  And improve by how much?  10%?  Just a reminder that Thomas Edison used lead acid batteries in his lab.  Guess what is still in cars today over 100 years later?  Same thing.  Not much improvement.,express lot confidence battery technology continue improve evidence improve much 10 reminder thomas edison used lead acid batteries lab guess still cars today 100 years later thing much improvement
"Energy density of gasoline for a combustion engine is only 1/3 of potential energy density we are able to get somehow from the gasoline. The 2/3 of the energy goes for heating the atmosphere, which has no practical usage. Therefore comparing the energy densities does not make much sense.",energy density gasoline combustion engine 1 3 potential energy density able get somehow gasoline 2 3 energy goes heating atmosphere practical usage therefore comparing energy densities make much sense
EV's= lithium ion fire bomb.,ev lithium ion fire bomb
"The whole weight subject is a wash. While the power source is heavier, the drive train is lighter. So while gasoline is lighter, the whole motor is heavier.",whole weight subject wash power source heavier drive train lighter gasoline lighter whole motor heavier
The engine from Ev are a smaller,engine ev smaller
"Petrol Ped does a video on having a charger at home and asks a grid operator what would happen if everyone in his neighborhood had one or two at home wouldn't that be great? He said no grid couldn't handle it. Science. It's not lazy as to why more people don't own EV's. It's science. And engineering. Something you should probably know about. Do a white board video on everyone in your neighborhood, town, or city, switching to having one to two fast chargers charging 1 to 2 cars overnight every night for a month.",petrol ped video charger home asks grid operator would happen everyone neighborhood one two home great said grid handle science lazy people ev science engineering something probably know white board video everyone neighborhood town city switching one two fast chargers charging 1 2 cars overnight every night month
Electric cars. Solution to a problem that doesn't exist.,electric cars solution problem exist
You  must live in a warm climate. After 4 years they should have been further along in development than they are. and new reports say EVs pollute more.,must live warm climate 4 years along development new reports say evs pollute
"If you are rich, you don't care about the cost. If you are pore, you drive a 2000 crown vic.230000 miles so far. How many batteries would you have to dispose of at that milage. 2? What if you fast charge always? 3? How much of the power at night comes from natural gas and coal?",rich care cost pore drive 2000 crown vic 230000 miles far many batteries would dispose milage 2 fast charge always 3 much power night comes natural gas coal
"The current EV's for sale are not mature products (yet)
They are unmatured products, sometimes brought quickly in the market in order to avoid government fines, or to respond to government tax incentives for customers etc...
Examples
The new Lotus Eletre SUV  with a price tag of  more than 100.000 Euro will get - according to Lotus- it's battery heater from April 2024, in order to remedy it's sloppy performance at cold temperatures.
There are electric VW Transporter customers, reporting they are unable to defrost their car on a winter morning, WITH THE VEHICLE STILL PLUGGED INTO THE CHARGER.
etc.., etc...etc....",current ev sale mature products yet unmatured products sometimes brought quickly market order avoid government fines respond government tax incentives customers etc examples new lotus eletre suv price tag 100 000 euro get according lotus battery heater april 2024 order remedy sloppy performance cold temperatures electric vw transporter customers reporting unable defrost car winter morning vehicle still plugged charger etc etc etc
A year or 4 can change everything - now the USGS has identified 200 trillion tons of hydrogen deposited just in the USA; other nations are also finding naturally occuring hydrogen deposits.  if this can be economically extracted; we will have a thousand years worth of hydrogen at low cost.,year 4 change everything usgs identified 200 trillion tons hydrogen deposited usa nations also finding naturally occuring hydrogen deposits economically extracted thousand years worth hydrogen low cost
"iPhone 8 pro is a great phone,  no one will mention it everyday conversation, but I like the home button ,  refined to perfection. Combustion engines will have their iPhone X pro moment.. And people will be tribal about the beast in the trunk and will want raw about it.  People might even start dumping the EVs into the ocean, like that bill Meyers gay joke about roller skates.. .. I enjoy your content,  just thought I’d comment, for the sake of saying something and thanks for you great work.",iphone 8 pro great phone one mention everyday conversation like home button refined perfection combustion engines iphone x pro moment people tribal beast trunk want raw people might even start dumping evs ocean like bill meyers gay joke roller skates enjoy content thought comment sake saying something thanks great work
"synthetic fuels are coming .. Zero emissions ,,,,,,, and work in any ICE motor .. China is leading the EV market ,,,, with their spy devices ,, NO WAY they will allow it mm China is our biggest threat mm ,, constant charges with subscription's to operate an EV funding the CCCP and Space X .. EV's are constant subscriptions ,, a cash cow ,, They can send a signal shut your car down and service it for 10k hmmm!!!   what if Elon goes under how will you update or fix your 80k car mm hmmm  ,, Nascar is already using synthetic fuels ,, EV's lose all their value you cannot even trade them in or sell them used ,,,  if the battery fails under warranty they give you a remanufactured  battery pieced together from other older cells ,,,WTF ICE car you get a new motor not a used one hahahh aggagaga",synthetic fuels coming zero emissions work ice motor china leading ev market spy devices way allow mm china biggest threat mm constant charges subscription operate ev funding cccp space x ev constant subscriptions cash cow send signal shut car service 10k hmmm elon goes update fix 80k car mm hmmm nascar already using synthetic fuels ev lose value even trade sell used battery fails warranty give remanufactured battery pieced together older cells wtf ice car get new motor used one hahahh aggagaga
"Only 30% of gasoline energy is used to move the car, the other 70% is wasted into heat. I have a Model Y, for same distance traveled, it cost 30% in electricity as gasoline. Which tells you  electric car is more efficient, even with a heavy battery.",30 gasoline energy used move car 70 wasted heat model distance traveled cost 30 electricity gasoline tells electric car efficient even heavy battery
"I am intrigued what that sodas taste like. They are not available in Europe, i suppose.😂",intrigued sodas taste like available europe suppose
"It is not just that more money can be made selling cars with combustion engines, auto manufacturers make the vast majority of their profits selling replacement parts and most of those replacement parts are parts that just don't wear out on electric cars. Like, no water pumps, no radiator hoses, no alternators, also brake pads wear much slower due to regenerative braking.",money made selling cars combustion engines auto manufacturers make vast majority profits selling replacement parts replacement parts parts wear electric cars like water pumps radiator hoses alternators also brake pads wear much slower due regenerative braking
What about the pollution making the lithium batteries.,pollution making lithium batteries
The country can't force ppl to get EVs,country force ppl get evs
They tried EVs back in the 1920s and it didn't work.  Now we are in 2024 and EVs still aren't working.,tried evs back 1920s work 2024 evs still working
Really enjoyed the video though. Good job!,really enjoyed video though good job
"Point 3; the carbon footprint of an ev is about half that of an ICE vehicle
Wrong. The huge energy cost of production, of EVs, means that by the time the battery is done, the EV has only just repayed it's ""carbon debt"". Then its scrap, leaving a legacy carbon debt.",point 3 carbon footprint ev half ice vehicle wrong huge energy cost production evs means time battery done ev repayed carbon debt scrap leaving legacy carbon debt
"Point 2: People largely ignore total cost of ownership. 
Wrong. The more elite an ICE vehicle is, the greater the investment potential. Also, even old ICE classic cars, which cost just a few thousand dollars in say the 70's, can cost a hundred thousand today.
Everyone knows that your investment in an EV is for a single life cycle. Its scrap, with virtually no resale value, in just 8 or so years.",point 2 people largely ignore total cost ownership wrong elite ice vehicle greater investment potential also even old ice classic cars cost thousand dollars say 70 cost hundred thousand today everyone knows investment ev single life cycle scrap virtually resale value 8 years
"Point 1: batteries will become much smaller and much more energy dense.
Wrong. The development curve is an ""S curve"". The start and finish are the most expensive and lowest ""earned value"" sections, taking up about 10% each. So, based on that fundamental, Li-Ion batteries are alreadybat about 90% of their potential. High purity Alumina can improve this further, but not by more than about another 10%, at even higher cost.",point 1 batteries become much smaller much energy dense wrong development curve curve start finish expensive lowest earned value sections taking 10 based fundamental li ion batteries alreadybat 90 potential high purity alumina improve another 10 even higher cost
Cmon bruh. Really not going to mention that most ICE vehicles get around 25mi per 33.7kWh where as EVs get about 134 miles?,cmon bruh really going mention ice vehicles get around 25mi per 33 7kwh evs get 134 miles
Thank you Sheldon,thank sheldon
"In sum, they are far from dead because short-term thinking prevails. ""Murica.",sum far dead short term thinking prevails murica
3:59 is black magick,3 59 black magick
"That but also replacement you will have to replace the batteries and they are less efficient the lower the charge , unlike gas where your car gets lighter the closer it it to empty",also replacement replace batteries less efficient lower charge unlike gas car gets lighter closer empty
