Unnamed: 0,Make,Model,Count,Battery Capacity (kWh),Charging Cost ($)
95,TESLA,MODEL 3,23135,57.5,8.625
98,TESLA,MODEL Y,17142,75.0,11.25
81,NISSAN,LEAF,12880,39.0,5.85
96,TESLA,MODEL S,7377,95.0,14.25
27,CHEVROLET,BOLT EV,4910,65.0,9.75
30,CHEVROLET,VOLT,4896,18.4,2.76
97,TESLA,MODEL X,4370,100.0,15.0
102,TOYOTA,PRIUS PRIME,2380,13.6,2.04
57,KIA,NIRO,2260,64.8,9.719999999999999
18,BMW,I3,1896,42.2,6.33
